,null_deg,sixty_deg,ninety_deg,straight_angle,twofourty_deg,labels
0,0.033950236481799095,0.33766825589061517,0.308767991089755,0.0638864759798876,0.3507714228353844,R
1,0.26286753293652076,0.13957419851036956,0.5673121677946522,0.5425723848080186,0.4647323348058173,R
2,0.05775941898707233,0.2716759445298288,0.14845164465980815,0.42568628568578093,0.2779783155677787,R
3,0.6990701344686459,0.5657541548327938,0.6430241104936796,0.5774974976651462,0.47120204176869235,M
4,0.8058136027210401,0.5571530441250109,0.9490483807441454,0.5285372190352853,0.9285267984930117,M
5,0.6398067878329109,0.985231428559759,0.9568904705261809,0.5537482082213457,0.4248646777499012,M
6,0.9569069213612209,0.9253743684888573,0.7598761268573404,0.7237210010563111,0.98175633723974,M
7,0.10780513770886119,0.31413870439007474,0.30127898476003206,0.12362240840486963,0.5722264799451068,R
8,0.21453671513584088,0.2970229754058471,0.0029565653269403164,0.2583945724185187,0.22927085976800324,R
9,0.753929126587049,0.7761890967183979,0.9327784592189214,0.7545857630501134,0.5116041773709507,M
10,0.11028464999411798,0.3879077017302259,0.3490243866351204,0.2089368544368914,0.4016187319050695,R
11,0.5069168209145221,0.5239894913315727,0.854156971646909,0.7067587367539525,0.493268139723722,M
12,0.46354622091756925,0.991064126885639,0.752100977243424,0.7541080571953818,0.4288551018125739,M
13,0.9808545948485803,0.9920725678662763,0.5011622899314663,0.5035842348969524,0.7732829926795748,M
14,0.8190578043634731,0.6391914734396609,0.80583619235448,0.6582659662754867,0.9155056967197959,M
15,0.8856579171168486,0.4841881515451261,0.4855110095715427,0.7531457950545872,0.5291889001113353,M
16,0.3653224820944251,0.44026608096380654,0.2541724119603319,0.46327017554664696,0.5498289109575639,R
17,0.46394346624014354,0.33186007210106516,0.5148117415889026,0.17507934900525804,0.4211878811249214,R
18,0.5398962344446511,0.4521305239906804,0.32812327227107496,0.011533001747297275,0.12363006227887234,R
19,0.08678617036067637,0.5507436835969093,0.45567180484830877,0.5629353553796176,0.11308162532438208,R
20,0.5563914737749536,0.015035143823219589,0.37906365430315314,0.4257273691975181,0.213200464209232,R
21,0.4304874564581176,0.8079692780919097,0.414983045060604,0.7568150326286744,0.5407679448397514,M
22,0.9774451747424104,0.5191654300027457,0.5807581982095718,0.8783945154789249,0.4798872619750696,M
23,0.5695499167230997,0.58916408768892,0.6522121300346798,0.654327051983512,0.8514987715993346,M
24,0.19992172736931463,0.35824799978587474,0.5315092846800349,0.10850797378132909,0.236981330889395,R
25,0.8502725944996216,0.9797325912053136,0.7640797764020646,0.6584414232932239,0.6212593174470665,M
26,0.6589506352956569,0.5521980797248951,0.44151899701120695,0.9792071245882239,0.5833606990763043,M
27,0.45506173506405956,0.4710390923637341,0.08586910105873657,0.1490574911150513,0.285921887920645,R
28,0.3989162257914815,0.11175160015419934,0.24401453210115054,0.22264961044104503,0.2122821371819627,R
29,0.49967485767069036,0.9220333238914089,0.42761509075253273,0.7977080233003537,0.6136730144806046,M
30,0.973548691882377,0.5855545449443905,0.6217858663119191,0.7963125376333119,0.6640432463112752,M
31,0.32545558788984413,0.4983350453097318,0.3969919772493672,0.13842627477957758,0.4372902208270886,R
32,0.9092157882141181,0.9399814315516919,0.960976228507548,0.6372596504387766,0.6931651607342627,M
33,0.36017668512516815,0.432810731518007,0.27871466624685953,0.22206370476999224,0.08594465408516742,R
34,0.25527879178067764,0.29219517495420416,0.4670694778089046,0.4515678759414649,0.26044170559543495,R
35,0.47294657353202174,0.9896130792947868,0.6047363930922045,0.9891420654228369,0.7310173721751405,M
36,0.9298289566544053,0.7794452890320851,0.43686141445584015,0.6702851482124434,0.5312642564727963,M
37,0.4783049093358023,0.017466313517658424,0.00024264975301204305,0.3564780169478029,0.5520542613139663,R
38,0.41296829683738717,0.16222755027814023,0.4982758835836718,0.11408614108369303,0.1726446908038913,R
39,0.058325584060768224,0.3387603889002907,0.47431134885364085,0.40501122114087085,0.4544241029231084,R
40,0.6896139464903515,0.7342457472809518,0.9543360886584118,0.8680849045331979,0.8217615710512125,M
41,0.6884694364202772,0.8522423420144765,0.5665867730459795,0.8435236030722406,0.8215688038674521,M
42,0.20562661586848674,0.3079786273074089,0.27126146270883555,0.1372844324023304,0.4556671302467043,R
43,0.46228597619075124,0.7497817833546969,0.43943169240162505,0.573655260239929,0.7223810400109573,M
