,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.0489871068252939,0.13883848475966074,0.369257280185616,0.12036862378712712,0.23427851351693615,R
1,0.17357095229249933,0.38683684915431077,0.05997214344339266,0.5348361788816512,0.4861378058053258,R
2,0.3252391753760695,0.5610669791654105,0.3906587022647061,0.030190920403182907,0.07699376881689114,R
3,0.7302644461454142,0.5466648593503748,0.6914466131195278,0.9226415956677914,0.43626647494745946,M
4,0.646373293931849,0.8776703099979307,0.9385378697995879,0.5285633764803402,0.4184427057379912,M
5,0.947625049975009,0.8070411379083575,0.6370132654957396,0.5553372946426319,0.7468482939913457,M
6,0.14000512070132576,0.39656143479904027,0.5088867570984377,0.3486500404629198,0.018600699846390515,R
7,0.5445964119270745,0.27789724784241765,0.2422935290626169,0.5172521284227058,0.02395768040574558,R
8,0.9978110923461159,0.9431521902724775,0.7031597826600005,0.731056108472719,0.46111508129410417,M
9,0.4844465500168266,0.905820981413149,0.5074728970995165,0.9320239429331723,0.42291543114136837,M
10,0.34824922193835744,0.5040785053453016,0.14743473352639222,0.25153277438273125,0.3148466757948934,R
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,0.7010919662813474,0.4922573740096142,0.7628919241552874,0.9900404909078451,0.7982795741148028,M
34,0.721263350332561,0.7558889945154048,0.5401969895088214,0.5484031796149346,0.6501807167213758,M
35,0.5309333260700265,0.5071541502241587,0.5651791296204568,0.020352635116995674,0.39603626802911834,R
36,0.9975551123239197,0.9373258407138303,0.7760793977271375,0.4383550466363301,0.8529587417644531,M
37,0.9453306132048735,0.8140407400484443,0.8116193058280163,0.8191249334688092,0.7499314416772634,M
38,0.4139442028167361,0.4340529961419314,0.5243914504758036,0.5652844260060218,0.8344316148931892,M
39,0.30895131648128377,0.4881396759851401,0.2703784223472893,0.22223121727508846,0.10975873672648238,R
40,0.23403097265783723,0.06158454113548694,0.15906805306144498,0.2782447878185073,0.4254147471508295,R
41,0.6655434941930585,0.9130400674442982,0.6355480690940417,0.6509157367026932,0.7409325648162841,M
42,0.8935946014510612,0.4542872534501686,0.8886632891027064,0.41765476973709087,0.6390513283373833,M
43,0.07704602125856502,0.5491642783972852,0.041035290817521726,0.18558290871383182,0.18045674599935754,R
44,0.4786999098810512,0.9364248125454029,0.5431343449593483,0.6234412397850901,0.6244513883993699,M
45,0.46622329151943365,0.5432093547813531,0.5520843979054894,0.2527726601762025,0.14770385268177919,R
46,0.5038054955719501,0.40241297864941594,0.30462218474002833,0.49865978813173767,0.3636398318476878,R
47,0.21938933847743375,0.5021482504178141,0.5166160773462184,0.4527923073047028,0.2577562661955974,R
48,0.46739458574610465,0.6173042253133066,0.7449320939998922,0.8083508846562064,0.9079690380622615,M
49,0.576941676532381,0.6357702837519948,0.7669524526364466,0.44513623407825237,0.5345154402649251,M
50,0.09869574413369611,0.3931078542774669,0.2523524497322386,0.09457381885491307,0.3819235938083451,R
51,0.4038838031184567,0.06451388897935723,0.4077236944413444,0.22616884741423385,0.3174420312854665,R
52,0.506237867319744,0.38629730065763285,0.20837248560713853,0.3049062488298469,0.10401483372744116,R
53,0.931462628052971,0.8913016392950928,0.7180322224037687,0.9894929098181462,0.5178855507514804,M
54,0.468873000584124,0.47267416196475553,0.3338983087808744,0.07305487556529155,0.10972424659295196,R
55,0.8126056467113038,0.9853270232002693,0.5078335068312937,0.7605632656575982,0.8353247719711548,M
56,0.15892428560230346,0.10940121831060558,0.43116163150661974,0.3399799513118454,0.32287145194907374,R

