,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.008673924352810013,0.4363669618112558,0.5202929142840806,0.40525400301500114,0.27376867959956686,R
1,0.649466777033815,0.848352288019421,0.9923334249017721,0.7164316241999976,0.6556420505236581,M
2,0.5345953595955243,0.6928938291951626,0.789707298427057,0.8293219654541872,0.5598271749489361,M
3,0.2692798788916391,0.1979367405330669,0.43367996839622186,0.4127731553727074,0.39391070766865505,R
4,0.8146518426617326,0.7219337024770809,0.978384275642568,0.9933552328945241,0.967122362409806,M
5,0.44226522713695193,0.009695605897179127,0.5163150381982456,0.17733208553539234,0.5481551232469739,R
6,0.9762173695326415,0.605642979177507,0.6729168132793646,0.4561639822049181,0.728886152124022,M
7,0.46114020121071697,0.8218228113248318,0.6603939263515646,0.9463127324640752,0.5717914717252934,M
8,0.08802656749436288,0.5396358775798052,0.18058962101601198,0.3457676171662463,0.5002476228038581,R
9,0.6972381268319798,0.8812815028859378,0.47571160973206317,0.43957425932392646,0.427305785249826,M
10,0.5683701137374784,0.7527950491427573,0.8915753190075649,0.8949140671632447,0.4718997447831333,M
11,0.7611254553520324,0.6004979707748324,0.4352233359083913,0.7003887077569602,0.587500894896791,M
12,0.9936754429362185,0.6133936491767251,0.702961585828525,0.4729631364140078,0.6828843269937366,M
13,0.6049096668833557,0.5681690639223191,0.6665431413349243,0.5570291179254183,0.6176002261421591,M
14,0.4628530081334647,0.5034194727524274,0.20481443589507392,0.5103873748396675,0.5407947586367755,R
15,0.0915275504564275,0.37615962329189634,0.12373095813159361,0.4064393939971049,0.10215579269568395,R
16,0.5636854677417034,0.34794873973051466,0.07105944590541124,0.44438557193684625,0.5611359250171054,R
17,0.3241531153613279,0.02225668369296764,0.037624753081018994,0.20179677949535615,0.2441952704192227,R
18,0.7974885209931099,0.903293473181571,0.4424763455168379,0.9598099824707005,0.7873254550881243,M
19,0.40572523323110943,0.10139059865182204,0.36734349311258335,0.4526547318125486,0.267902269064133,R
20,0.4931607883128679,0.3039416789871065,0.4240154976533078,0.3077620820948015,0.2718120448315015,R
21,0.8871087559779516,0.4599375120843007,0.6865564612916485,0.6991250606338604,0.9168934889192384,M
22,0.37944521794890623,0.28517785303734394,0.22261759565211992,0.4486742824858482,0.56427767932055,R
23,0.8441307831951956,0.44233268617403587,0.7404265947687996,0.8097824977348431,0.9633502815964778,M
24,0.5544823443547635,0.02735359951432841,0.21833634797087823,0.5658561667550345,0.4751211732169067,R
25,0.123011198898018,0.26730199309583635,0.3281433218759273,0.027136453194102832,0.46704849407304794,R
26,0.5281736229246656,0.5596893623803861,0.7985684825068576,0.7456465192812833,0.43395803656117815,M
27,0.3664918643797816,0.26285589308128365,0.2551475145698809,0.44187107799651887,0.4359200057897041,R
28,0.6516516746392111,0.8682748667683177,0.6792540094981245,0.4569109388762901,0.9143083165064578,M
29,0.5556415232389286,0.5497745849516201,0.1764351440402947,0.1454277987809572,0.41644315830461665,R
30,0.44946616718449056,0.3216306113671462,0.48193729161782783,0.5622224216799848,0.3414318585559113,R
31,0.499708941117267,0.5396077427348875,0.7790824905060298,0.5023002141818279,0.8450249175861526,M
32,0.5344142680324114,0.6865748798181233,0.5829842864037275,0.6073379994215756,0.8906205436950392,M
33,0.2995614221804898,0.38320772172612194,0.18221837917035658,0.23555808616721827,0.43523374020101085,R
34,0.9952508564586737,0.6661031301796605,0.6083622831501745,0.6711114206292819,0.6415847998931316,M
35,0.9704338193296875,0.8965326343972049,0.9377073610684012,0.8290280669071951,0.8860456748447971,M
36,0.6259133939506714,0.6502554177448534,0.4773478909616726,0.6594158045880316,0.5921874194835849,M
37,0.4452402605617908,0.6347119360761208,0.5814505659158221,0.6432294858704797,0.9865735733177821,M
38,0.8625709650047833,0.46880914004108587,0.48442737238020334,0.8691447867456056,0.6971750649573085,M
39,0.8826344184934329,0.726570379855463,0.84183277916316,0.7688670583044148,0.5344306801441586,M
40,0.5189698416050796,0.897767957886346,0.6288861107780954,0.49920041879014304,0.8735500553866127,M
41,0.5503691130890322,0.3248668706705945,0.5657300846331453,0.2691745858535417,0.5251885712546263,R
42,0.3786360710838248,0.36113239061897134,0.5691182519180407,0.07077729926855365,0.3014990948469211,R
43,0.5305710074134338,0.5437390831653042,0.12980433737760905,0.3644618130642358,0.3442257343029911,R
44,0.9833086184487712,0.5568152798767574,0.4620076240651471,0.6737005863442707,0.8801328972071605,M
45,0.3958555242709622,0.17089294147491654,0.4004443387200418,0.42847176318642544,0.44239629175777745,R
46,0.4385764326949455,0.6099131997024467,0.5846075071006738,0.5083788818901727,0.5052079532449839,M
47,0.8541066869564051,0.8941321627670549,0.6311483891226617,0.4296085878285667,0.4587925389480085,M
48,0.526165104587737,0.6997407271418297,0.7540603364274086,0.7208891664629481,0.48475177536689557,M
49,0.9551563981051505,0.6573698158115806,0.6457348680687228,0.9555785420244096,0.7457874982671446,M
50,0.9199400997548033,0.7635391921070606,0.6796941299447711,0.8056144775322717,0.869956415968834,M
51,0.03399117093904672,0.23904111815177367,0.45702927349193506,0.38579183126355393,0.4428056396353496,R
52,0.7427149027949043,0.6385238247790346,0.9034359779394285,0.48623859365773786,0.930776267749315,M
53,0.928959849186572,0.4495030881243648,0.8463823579457816,0.75668731664511,0.9292053395269047,M
54,0.16694403461843166,0.055142882023797433,0.2249392099812362,0.3027066037634354,0.4649923035636115,R
55,0.12227091484825026,0.12562634473875214,0.4103326816116608,0.28314714447792394,0.2684131182706643,R
56,0.6736947661341963,0.9442060699450217,0.8367371220529034,0.9738457979756054,0.8688682838615338,M

